MJD,Aa,Aa_err
55607.6143,20.714,0.013
55955.6750,9.265,0.031
56671.7183,18.950,0.025
56751.5150,8.172,0.016
56752.4744,8.249,0.015
56753.4915,8.283,0.015
56765.4340,9.117,0.016
56780.4238,10.135,0.019
56810.3815,12.295,0.014
56821.3943,13.144,0.018
56994.7777,8.656,0.118
57054.6979,9.209,0.050
57055.6581,9.294,0.022
57076.6118,10.804,0.022
57082.6602,11.263,0.026
57108.5328,13.076,0.018
57129.4671,14.778,0.018
57156.4102,17.573,0.014
57393.7256,16.878,0.159
57405.7068,17.677,0.359
57408.6934,17.078,0.370
57423.6482,18.035,0.270
57444.6166,20.198,0.130